player_name,The_Pearson_coefficient
"Jayson Tatum",0.427
"Jayson Williams",-0.424
"Jeff Adrien",0.227
"Jeff Ayres",-0.75
"Jeff Foster",0.158
"Jeff Green",-0.734
"Jeff Hornacek",0.355
"Jeff McInnis",0.743
"Jeff Teague",0.326
"Jeff Trepagnier",0.524
"Jeff Withey",-0.838
"Jeffery Taylor",-0.99
"Jelani McCoy",0.52
"Jerami Grant",0.054
"Jeremy Evans",0.19
"Jeremy Lamb",-0.546
"Jeremy Lin",0.735
"Jeremy Pargo",0.958
"Jeremy Richardson",-0.894
"Jeremy Tyler",-0.997
"Jerian Grant",-0.366
"Jermaine Jackson",-0.657
"Jermaine O'Neal",0.251
"Jerome James",-0.408
"Jerome Kersey",-0.098
"Jerome Moiso",-0.784
"Jerome Robinson",-0.646
"Jerome Williams",-0.814
"Jerry Stackhouse",0.555
"Jerryd Bayless",-0.166
"Jevon Carter",-0.833
"Jim Jackson",-0.036
"Jim McIlvaine",0.862
"Jimmer Fredette",0.2
"Jimmy Butler",0.681
"Jimmy Oliver",0.427
"Jiri Welsch",-0.625
"JJ Hickson",-0.454
"JJ Redick",0.426
"Joakim Noah",0.229
"Jodie Meeks",-0.471
"Joe Dumars",-0.204
"Joe Harris",0.427
"Joe Ingles",0.485
"Joe Johnson",-0.005
"Joe Kleine",0.05
"Joe Smith",0.299
"Joe Stephens",0.054
"Joe Wolf",0.612
"Joe Young",-0.967
"Joel Anthony",-0.383
"Joel Embiid",0.6
"Joel Freeland",-0.838
"Joel Przybilla",0.63
"Joey Dorsey",0.215
"Joey Graham",-0.689
"Joffrey Lauvergne",0.514
"Johan Petro",-0.714
"John Amaechi",0.997
"John Collins",0.737
"John Crotty",0.186
"John Henson",-0.718
"John Jenkins",0.658
"John Konchar",-0.196
"John Lucas III",0.73
"John Salmons",0.802
"John Starks",0.591
"John Stockton",-0.604
"John Thomas",0.619
"John Wall",0.484
"John Wallace",-0.526
"Johnathan Motley",-0.583
"Johnny Newman",-0.285
"Johnny O'Bryant III",0.376
"Johnny Taylor",-0.663
"Jon Barry",0.304
"Jon Brockman",-0.949
"Jon Leuer",0.147
"Jonas Jerebko",-0.116
"Jonas Valanciunas",0.253
"Jonathan Bender",-0.596
"Jonathan Isaac",0.141
"Jonathon Simmons",0.55
"Jonny Flynn",0.941
"Jordan Bell",0.885
"Jordan Clarkson",0.625
"Jordan Crawford",-0.596
"Jordan Farmar",0.465
"Jordan Hamilton",-0.914
"Jordan Hill",0.121
"Jordan McLaughlin",0.607
"Jordan McRae",-0.005
"Jordan Mickey",-0.843
"Jordan Nwora",0.741
"Jordan Poole",0.828
"Jorge Gutierrez",0.87
"Jose Calderon",0.375
"Josh Boone",0.981
"Josh Childress",0.95
"Josh Davis",-0.52
"Josh Green",0.996
"Josh Harrellson",-0.706
"Josh Hart",0.253
"Josh Howard",0.463
"Josh Huestis",0.959
"Josh Jackson",-0.209
"Josh McRoberts",0.653
"Josh Okogie",0.075
"Josh Powell",-0.342
"Josh Richardson",-0.325
"Josh Smith",0.699
"JR Smith",0.512
"Jrue Holiday",-0.03
"Juan Dixon",0.052
"Juan Toscano-Anderson",-0.251
"Juancho Hernangomez",0.287
"Jud Buechler",0.366
"Julian Wright",-0.234
"Julius Randle",0.786
"Julyan Stone",-0.347
"Jumaine Jones",-0.558
"Junior Harrington",0.094
"Justin Anderson",0.391
"Justin Hamilton",0.864
"Justin Harper",-0.751
"Justin Holiday",-0.672
"Justin Jackson",0.366
"Justin Patton",0.399
"Justin Reed",-1
"Justin Robinson",-0.324
"Justise Winslow",-0.481
"Jusuf Nurkic",-0.347
"Juwan Howard",0.38
"Juwan Morgan",-0.927
"Kadeem Allen",0.972
"Kaniel Dickens",0.795
"Kareem Rush",0.698
"Karl Malone",0.552
"Karl-Anthony Towns",-0.063
"Kawhi Leonard",0.304
"Kedrick Brown",-0.875
"Keita Bates-Diop",0.732
"Keith Askins",0.611
"Keith Bogans",-0.735
"Keith Closs",0.464
"Keith McLeod",-0.462
"Keith Van Horn",-0.439
"Kelan Martin",0.797
"Keldon Johnson",-0.688
"Kelenna Azubuike",-0.805
"Kelly Olynyk",-0.723
"Kelly Oubre Jr.",0.633
"Kelvin Cato",-0.719
"Kemba Walker",0.262
"Kendall Gill",0.367
"Kendall Marshall",-0.003
"Kendrick Nunn",-0.943
"Kendrick Perkins",0.455
"Kenneth Faried",-0.093
"Kenny Anderson",0.738
"Kenny Thomas",0.718
"Kenrich Williams",0.841
"Kent Bazemore",-0.06
"Kentavious Caldwell-Pope",-0.403
"Kenyon Martin",0.25
"Kenyon Martin Jr.",0.909
"Keon Clark",0.746
"Kerry Kittles",0.365
"Kevin Durant",0.297
"Kevin Edwards",0.963
"Kevin Garnett",0.467
"Kevin Huerter",0.914
"Kevin Johnson",-0.066
"Kevin Knox II",-0.496
"Kevin Love",-0.024
"Kevin Martin",0.403
"Kevin Ollie",0.223
"Kevin Porter Jr.",0.079
"Kevin Seraphin",-0.122
"Kevin Willis",0.766
"Kevon Looney",-0.32
"Keyon Dooling",-0.326
"Khalid Reeves",0.205
"Khem Birch",0.345
"Khris Middleton",0.682
"Khyri Thomas",0.934
"Killian Hayes",-0.32
"Kira Lewis Jr.",-0.102
"Kirk Hinrich",0.457
"Kirk Snyder",-0.822
"KJ McDaniels",-0.992
"Klay Thompson",0.314
"Kobe Bryant",-0.042
"Kobi Simmons",1
"Kornel David",-0.966
"Kosta Koufos",-0.631
"Kostas Antetokounmpo",-0.969
"Kris Dunn",0.35
"Kris Humphries",-0.261
"Kristaps Porzingis",0.201
"Kurt Thomas",-0.574
"Kwame Brown",0.037
"Kyle Anderson",0.181
"Kyle Guy",-0.88
"Kyle Korver",-0.681
"Kyle Kuzma",0.035
"Kyle Lowry",0.31
"Kyle O'Quinn",-0.45
"Kyle Singler",-0.484
"Kyle Weaver",-0.631
